question,answer
"Если не работает радарная часть (радар-детектор); Как настроить радар, чтобы он ловил камеры?; Почему мой радар Fujida не оповещает о камерах?; Радар работает без звука, как включить оповещения?; Мой радар-детектор не видит камеры, что делать?; Нет звуковых оповещений о камерах, как настроить?; Какие настройки нужно изменить, чтобы радар начал оповещать о камерах?; После обновления прошивки радар перестал оповещать о камерах.","Фильтр слабых сигналов - установите ""Низкий"" или ""Выключен"" для лучшего обнаружения камер. Тихий режим - убедитесь, что он отключен, а общая громкость оповещений достаточная (3-5). Фильтр скорости - установите минимальное значение (0-10 км/ч) или выключите, чтобы получать оповещения при любой скорости. После настройки перезагрузите устройство. Если проблема сохраняется, обновите базу данных камер или прошивку."
"Как установить обновление на устройство.; Как установить обновление на устройство Fujida.; Что делать после копирования файлов прошивки на SD карту.; Процедура обновления прошивки на видеорегистраторе.; У меня не запускается обновление на Karma как это сделать.; Как включить режим обновления на комбо-устройстве.; Как обновить прошивку через SD карту.; Не могу понять как установить новую прошивку на видеорегистратор.","Обновление прошивки с помощью карты памяти и компьютера: Перейдите на сайт https://update.fujida.su/services/ Скачайте файл ""Актуальная прошивка и база камер"" для своей модели Извлеките файлы из архива Отформатируйте карту памяти Если форматируете на регистраторе — выберите форматирование в меню устройства Если на компьютере (для карт до 32 ГБ): - Файловая система: FAT32 - Размер кластера: 32 КБ Карты памяти с объемом более 32 ГБ (например 64 ГБ или 128 ГБ) необходимо форматировать только через меню настроек видеорегистратора Скопируйте разархивированные файлы в корень карты памяти Вставьте карту в выключенный видеорегистратор Подключите питание через оригинальный кабель в автомобиле На экране появится строка с прогрессом обновления После завершения устройство автоматически перезагрузится Файлы с карты будут удалены автоматически Проверьте в меню настроек версию установленной прошивки Видеонструкция: https://vk.com/video/@fujida_rus?z=video-174258496_456239174%2Fclub174258496"
"Как пользоваться приложением Fujida.Pro.; Не могу разобраться с подключением регистратора к приложению на телефоне.; Какие функции доступны в мобильном приложении для Karma.; Как настроить параметры видеорегистратора через Fujida.Pro.; На каких телефонах работает приложение для Fujida.","Скачайте приложение Fujida.Pro: Для iOS (iPhone): https://apps.apple.com/ru/app/fujida-pro/id6463075934 Для Android: https://play.google.com/store/apps/details?id=mykj.fujidapro.jcd Установите соединение с устройством по Wi-Fi Пароль для подключения: 12345678 Откройте приложение. Для IOS обязательно предоставьте доступ к локальной сети и сотовым данным. Выберите свою модель устройства: Если у вас регистратор с радар-детектором и GPS-базой камер (3 в 1) — выберите модель в разделе ""Гибриды"" Если у вас регистратор с GPS-базой камер (2 в 1) — выберите модель в разделе ""GPS-информаторы"" Если у вас обычный видеорегистратор — выберите соответствующий раздел После выбора модели откроется меню с функциями: ● Просмотр онлайн-трансляции с регистратора ● Обновление устройства ● Загрузка файлов с устройства на телефон или просмотр видео файлов напрямую с устройства ● Настройки видеорегистратора и радарной части (если имеется) ● Просмотр инструкции по эксплуатации ● Раздел ""Путешествие с Fujida"" Инструкция для обновления устройства через приложение Fujida Pro: Включите мобильный интернет Перейдите в раздел “Обновление”. Нажмите кнопку “Загрузить обновление”. После загрузки в телефон нажмите на кнопку “Установить обновление”. Комбо самостоятельно определит наличие новой прошивки и начнет её обновление. После начала установки устройство автоматически перезагрузится. Обновление будет запущено автоматически Видеоинструкция: https://vkvideo.ru/video-174258496_456239175"
"Что делать, если устройство не включается и не загорается дисплей.; Мой Fujida полностью перестал работать.; Регистратор не подает признаков жизни как его оживить.; Видеорегистратор внезапно перестал загружаться экран не светится совсем.","Подключите устройство в автомобиле без карты памяти. Используйте оригинальный адаптер питания со шнуром от прикуривателя. Если устройство включается без карты памяти, проверьте работоспособность карты. Проверьте, работает ли индикатор на адаптере питания. Если индикатор горит — питание поступает. Если индикатор не горит — проверьте предохранитель. Отверните конец адаптера. Проверьте целостность нити предохранителя. Если устройство по-прежнему не включается, выполните обновление прошивки с помощью карты памяти и компьютера."
"Ошибка карты памяти или не ведется запись.; Как проверить карту памяти.; Любые проблемы с картой памяти.; Видеорегистратор пишет ошибка карты памяти как исправить.; Fujida не записывает видео хотя карта вставлена.; Как правильно форматировать SD карту для Karma.; Устройство не видит флешку что делать.; После включения пишет проверьте карту памяти и не начинает запись.; Как проверить карту памяти на совместимость с Fujida.; Какой программой можно протестировать SD карту на ошибки.; Почему Karma может писать что карта памяти повреждена.; Как диагностировать проблемы с картой памяти если запись прерывается.","Возможные причины: неисправная карта памяти, использование неоригинального адаптера питания или кабеля, несовместимая карта памяти с низкой скоростью записи, карта памяти заполнилась защищёнными от перезаписи файлами. Рекомендации по устранению ошибки: используйте только оригинальный адаптер питания со шнуром. Выполните принудительное форматирование карты памяти через меню видеорегистратора. После форматирования снимите устройство с магнитного крепления, чтобы видеорегистратор выключился. Поместите устройство снова на магнитное крепление для включения. Если ""Ошибка записи"" не исчезла, повторите пункты. Выключите G-сенсор, чтобы карта памяти не заполнялась защищенными файлами. Проверьте карту памяти с помощью тестовой программы: https://www.fujida.su/guarantee/microSD-test.php?clear_cache=Y Обязательно проверяйте скорость записи, а не чтения. Сохраните и отправьте фото с графиком проверки для анализа. После тестирования обязательно отформатируйте карту памяти на компьютере, далее через меню настроек видеорегистратора. Дальнейшие действия: если карта не подходит по характеристикам — замените её на карту Class 10 или выше (скорость записи от 10 МБ/с). После замены отформатируйте карту памяти через меню настроек видеорегистратора."
"Проблемы с GPS.; Не показывает скорость.; Скорость отображается некорректно.; Почему мой Fujida не показывает скорость движения.; GPS в моем регистраторе не работает как это исправить.; На моем Karma отображается неправильная скорость намного ниже реальной.; Видеорегистратор пишет что скорость 0 км/ч хотя я еду.; После обновления прошивки перестал работать датчик скорости что делать","Блокировка GPS: В стратегически важных регионах РФ и их окрестностях может происходить блокировка сигналов GPS с помощью систем радиоэлектронной борьбы. Попробуйте выехать за пределы города, где сигнал GPS не блокируется. Если иконка спутниковой тарелки загорится белым или скорость начнет отображаться корректно, то соединение с GPS установлено. Проверка карты памяти: Убедитесь, что карта памяти установлена и работает исправно. Если она неисправна или не соответствует 10 классу, то все функции устройства могут работать некорректно. Неисправность GPS модуля: Проверьте версию базы камер в меню настроек устройства. Если база камер в меню отображается как 00000000, возможно, GPS-модуль не функционирует корректно."
"Проблемы с работой устройства (перезагрузка, зависание, торможение и т.д.).; Мой видеорегистратор Fujida постоянно перезагружается сам по себе.; Устройство зависает при включении и не реагирует на кнопки.; Karma тормозит и медленно реагирует на нажатия кнопок.; После работы несколько часов комбо устройство начинает глючить.; Как сбросить настройки если регистратор не включается нормально.","Проверьте карту памяти на работоспособность. Если карта памяти неисправна или не соответствует классу 10, функции устройства могут работать некорректно. Используйте только оригинальный адаптер питания со шнуром. Обновите устройство с помощью карты памяти и компьютера. Датчик движения: Датчик движения в вашем устройстве отключен, так как он предназначен для использования в режиме парковки. Датчик запускает запись только при наличии движения в кадре. Использование этой функции при движении автомобиля может привести к некорректной записи."
"Как отправить устройство в сервисный центр.; Как отправить устройство в сервисный центр Fujida.; Нужно ли заполнять какие-то документы для гарантийного ремонта регистратора.; Где находятся сервисные центры по ремонту Karma в моем городе.; Сколько времени занимает ремонт видеорегистратора в сервисе.; Что делать если устройство сломалось в течение гарантийного срока.","Связь с поддержкой: Позвоните по бесплатному номеру телефона 8 (800) 500-31-16 (только по России). Напишите на электронную почту support@fujida.su или свяжитесь через WhatsApp/Telegram: +7 927 035-55-55. (Режим работы: пн-пт, 09:00-18:00 по московскому времени). Опишите проблему с устройством, укажите модель и приложите фотографии неисправности. Получение инструкций: Служба поддержки предоставит информацию об отправке устройства на ремонт и список необходимых документов. Подготовка устройства: Очистите и аккуратно упакуйте устройство. Используйте оригинальную или защитную упаковку. Соберите все комплектующие: кабель питания, крепление на лобовое стекло, карту памяти (если отправляете видеорегистратор или комбо-устройство). Если кабель питания установлен скрытно, его можно не отправлять. Подготовка документов: Распечатайте и положите в упаковку документы, подтверждающие покупку (чек), заявление на гарантийное обслуживание. Отправка устройства: Отправка осуществляется транспортной компанией СДЭК. Все транспортные расходы возмещает компания Fujida (при гарантийном ремонте). Отправьте устройство из любого удобного пункта выдачи СДЭК. За 30 минут до посещения филиала СДЭК: позвоните по бесплатному номеру 8 800 500-31-16 или напишите в чате для создания накладной на отправление. Ожидание: После отправки ожидайте ответ от службы поддержки о статусе ремонта. Специалисты свяжутся с вами после проверки устройства. Вопросы: Если у вас возникли вопросы по процессу, сообщите нам!"
"Какую карту памяти купить.; Какую карту памяти купить для видеорегистратора Fujida.; Какие SD карты совместимы с устройствами Karma.; Рекомендуемый класс и объем карты памяти для комбо-устройств.; Что лучше выбрать microSD 32 или 64 ГБ для регистратора.; Какие производители флеш-карт наиболее надежны для видеозаписи в Fujida.","Мы рекомендуем использовать только оригинальные карты памяти Fujida, так как не можем гарантировать качество карт памяти других брендов. Оригинальные карты Fujida соответствуют заявленным характеристикам и имеют гарантию 1 год. Возможные варианты карт памяти: Fujida Pro microSDHC 16 GB UHS-I Class 10; Fujida Pro microSDXC 128 GB UHS-I U3 Class 10."
"Где купить шнур питания для комбо и регистратора","Вы можете купить шнур питания по этой ссылке: https://fujida.su/catalog/accessories/"
